#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
去世	去世	qùshì	v.	pass away	book::L04 L04::essay vocab unit::Family_Language
主张	主張	zhǔzhāng	v./n.	advocate; view	book::L04 L04::essay vocab unit::Family_Language
代替	代替	dàitì	v.	take place of	book::L04 L04::essay vocab unit::Family_Language
周有光	周有光	Zhōu Yǒuguāng	pn.	a person's name	book::L04 L04::essay vocab unit::Family_Language
周耀平	周耀平	Zhōu Yàopíng	pn.	a person's name	book::L04 L04::essay vocab unit::Family_Language
江苏	江蘇	Jiāngsū	pn.	Jiangsu province	book::L04 L04::essay vocab unit::Family_Language
常州	常州	Chángzhōu	pn.	Name of a city in Jiangsu province; it is about 185 km west of Shanghai	book::L04 L04::essay vocab unit::Family_Language
社团	社團	shètuán	n.	organization; group; club	book::L05 L05::dialogue vocab unit::Education
实习	實習	shíxí	v./n.	intern; internship	book::L05 L05::dialogue vocab unit::Education
联系	聯繫	liánxì	v.	contact; connect	book::L05 L05::dialogue vocab unit::Education
孝顺	孝順	xiàoshùn	v./adj.	show filial obedience; filial	book::L05 L05::dialogue vocab unit::Education
工作	工作	gōngzuò	v./n.	work	book::L05 L05::dialogue vocab unit::Education
应该	應該	yīnggāi	v.	should; ought to; must	book::L05 L05::dialogue vocab unit::Education
带	帶	dài	v.	take along; bring; carry	book::L05 L05::dialogue vocab unit::Education
眼睛	眼睛	yǎnjīng	n.	eyes	book::L05 L05::dialogue vocab unit::Education
鼻子	鼻子	bízi	n.	nose	book::L05 L05::dialogue vocab unit::Education
鹅蛋	鵝蛋	édàn	n.	goose egg	book::L05 L05::dialogue vocab unit::Education
脸	臉	liǎn	n.	face	book::L05 L05::dialogue vocab unit::Education
棕色	棕色	zōngsè	n.	brown	book::L05 L05::dialogue vocab unit::Education
皮肤	皮膚	pífū	n.	skin	book::L05 L05::dialogue vocab unit::Education
身材	身材	shēncái	n.	figure	book::L05 L05::dialogue vocab unit::Education
苗条	苗條	miáotiáo	adj.	slim	book::L05 L05::dialogue vocab unit::Education
戴	戴	dài	v.	to wear; *Both 穿 (chuān) and 戴 (dài) are verbs, meaning to put on or wear.	book::L05 L05::dialogue vocab unit::Education
副	副	fù	mw.	pair	book::L05 L05::dialogue vocab unit::Education
气质	氣質	qìzhì	n.	temperament; personality traits; manners	book::L05 L05::dialogue vocab unit::Education
性格	性格	xìnggé	n	personality	book::L05 L05::dialogue vocab unit::Education
操心	操心	cāoxīn	adj/v.	concerned about; concern	book::L05 L05::dialogue vocab unit::Education
担心	擔心	dānxīn	v.	worry	book::L05 L05::dialogue vocab unit::Education
最近	最近	zuìjìn	adv.	recently; lately; in the near future	book::L05 L05::dialogue vocab unit::Education
望子成龙	望子成龍	wàng zǐ chéng lóng	idm.	have high expectations of one's son	book::L05 L05::essay vocab unit::Education
望女成凤	望女成鳳	wàng nǚ chéng fèng	idm.	have high expectations of one's daughter	book::L05 L05::essay vocab unit::Education
成绩	成績	chéngjì	n.	score; grade	book::L05 L05::essay vocab unit::Education
低	低	dī	adj.	low	book::L05 L05::essay vocab unit::Education
于	於	yú	prep.	[indicating comparison] than, e.g., 低于; [indicating beginning or source] from, e.g., 来自于	book::L05 L05::essay vocab unit::Education
过夜	過夜	guòyè	v.	spend a night	book::L05 L05::essay vocab unit::Education
游戏	遊戲	yóuxì	n.	game	book::L05 L05::essay vocab unit::Education
教授	教授	jiàoshòu	n.	professor	book::L05 L05::essay vocab unit::Education
虎妈	虎媽	hǔmā	n.	tiger mom	book::L05 L05::essay vocab unit::Education
介绍	介紹	jièshào	v.	introduce	book::L05 L05::essay vocab unit::Education
中国式	中國式	Zhōngguó shì	n.	Chinese style	book::L05 L05::essay vocab unit::Education
要求	要求	yāoqiú	v./n.	request; require; requirement	book::L05 L05::essay vocab unit::Education
其中	其中	qízhōng	adv.	among	book::L05 L05::essay vocab unit::Education
严格	嚴格	yángé	adj.	strict	book::L05 L05::essay vocab unit::Education
压力	壓力	yālì	n.	pressure	book::L05 L05::essay vocab unit::Education
年薪	年薪	niánxīn	n.	annual salary; yearly income	book::L05 L05::essay vocab unit::Education
将来	將來	jiānglái	n.	future	book::L05 L05::essay vocab unit::Education
研究生	研究生	yánjiūshēng	n.	graduate student	book::L05 L05::essay vocab unit::Education
申请	申請	shēnqǐng	v.	apply	book::L05 L05::essay vocab unit::Education
牺牲	犧牲	xīshēng	v./n.	sacrifice	book::L05 L05::essay vocab unit::Education
钱	錢	qián	n.	money	book::L05 L05::essay vocab unit::Education
学区房	學區房	xuéqū fáng	n.	house in a good school district	book::L05 L05::essay vocab unit::Education
付	付	fù	v.	pay	book::L05 L05::essay vocab unit::Education
学费	學費	xuéfèi	n.	tuition	book::L05 L05::essay vocab unit::Education
住宿费	住宿費	zhùsù fèi	n.	room and board cost	book::L05 L05::essay vocab unit::Education
省吃俭用	省吃儉用	shěngchījiǎnyòng	ph.	live frugally	book::L05 L05::essay vocab unit::Education
负担	負擔	fùdān	n.	burden	book::L05 L05::essay vocab unit::Education
理所当然	理所當然	lǐsuǒdāngrán	idm.	naturally; to be expected as a matter of course	book::L05 L05::essay vocab unit::Education
理由	理由	lǐyóu	n.	reason; justification	book::L06 L06::dialogue vocab unit::Education
流利	流利	liúlì	adj.	fluent	book::L06 L06::dialogue vocab unit::Education
能够	能夠	nénggòu	v.	to be able to; can	book::L06 L06::dialogue vocab unit::Education
餐馆	餐館	cānguǎn	n.	restaurant	book::L06 L06::dialogue vocab unit::Education
菜单	菜單	càidān	n.	menu	book::L06 L06::dialogue vocab unit::Education
群	群	qún	mw.	group; herd	book::L06 L06::dialogue vocab unit::Education
当地	當地	dāngdì	adj.	local	book::L06 L06::dialogue vocab unit::Education
墙	牆	qiáng	n.	wall	book::L06 L06::dialogue vocab unit::Education
便宜	便宜	piányi	adj.	cheap; inexpensive	book::L06 L06::dialogue vocab unit::Education
肯定	肯定	kěndìng	adv.	surely; certainly	book::L06 L06::dialogue vocab unit::Education
吓昏	嚇昏	xiàhūn	v.	faint from fear; shell-shocked	book::L06 L06::dialogue vocab unit::Education
报纸	報紙	bàozhǐ	n.	newspaper	book::L06 L06::dialogue vocab unit::Education
逼	逼	bī	v.	force; compel	book::L06 L06::dialogue vocab unit::Education
紧	緊	jǐn	adj.	tight; strict	book::L06 L06::dialogue vocab unit::Education
关系	關係	guānxi	n.	relation; relationship	book::L06 L06::dialogue vocab unit::Education
紧张	緊張	jǐnzhāng	adj.	nervous; intense; tense	book::L06 L06::dialogue vocab unit::Education
钢琴	鋼琴	gāngqín	n.	piano	book::L06 L06::dialogue vocab unit::Education
画画	畫畫	huàhuà	v.o.	draw a picture	book::L06 L06::dialogue vocab unit::Education
越来越	越來越	yuèláiyuè	adv	more and more	book::L06 L06::dialogue vocab unit::Education
讨厌	討厭	tǎoyàn	v./adj.	dislike; loathe; annoying; troublesome	book::L06 L06::dialogue vocab unit::Education
满足	滿足	mǎnzú	v.	satisfy	book::L06 L06::dialogue vocab unit::Education
旅行	旅行	lǚxíng	v./n.	travel; journey; trip	book::L06 L06::dialogue vocab unit::Education
电影	電影	diànyǐng	n.	movie	book::L06 L06::dialogue vocab unit::Education
歌曲	歌曲	gēqǔ	n.	song	book::L06 L06::dialogue vocab unit::Education
歌词	歌詞	gēcí	n.	song lyric	book::L06 L06::dialogue vocab unit::Education
视角	視角	shìjiǎo	n.	viewpoint; perspective	book::L06 L06::dialogue vocab unit::Education
考虑	考慮	kǎolǜ	v./n.	consider; consideration	book::L06 L06::dialogue vocab unit::Education
吸引力	吸引力	xīyǐnlì	n.	attractiveness	book::L06 L06::dialogue vocab unit::Education
科学	科學	kēxué	n.	science; scientific knowledge	book::L06 L06::dialogue vocab unit::Education
研究	研究	yánjiū	n./v.	research; study	book::L06 L06::dialogue vocab unit::Education
聪明	聰明	cōngming	adj.	intelligent; smart	book::L06 L06::dialogue vocab unit::Education
历史	歷史	lìshǐ	n.	history	book::L06 L06::essay vocab unit::Education
从	從	cóng	prep.	from; since	book::L06 L06::essay vocab unit::Education
大多数	大多數	dàduōshù	n.	the majority	book::L06 L06::essay vocab unit::Education
从事	從事	cóngshì	v.	go in for; deal with (a profession)	book::L06 L06::essay vocab unit::Education
建筑	建築	jiànzhù	v./n.	build; building; architecture	book::L06 L06::essay vocab unit::Education
铁路	鐵路	tiělù	n.	railroad	book::L06 L06::essay vocab unit::Education
经营	經營	jīngyíng	v.	manage; run	book::L06 L06::essay vocab unit::Education
洗衣店	洗衣店	xǐyīdiàn	n.	laundromat	book::L06 L06::essay vocab unit::Education
受到	受到	shòudào	v.	be given; suffer the effects of	book::L06 L06::essay vocab unit::Education
